character,unicode_category,total_frequency_all_time
ش,Lo,26387068
♦,So,26361851
θ,Ll,26352485
ש,Lo,26300180
ω,Ll,26272839
व,Lo,26173964
ш,Ll,26153744
Å,Lu,25947061
ð,Ll,25908359
ج,Lo,25544771
ί,Ll,25230167
⭐,So,25197092
ो,Mc,25169985
¡,Po,24849362
ּ,Mn,24813359
П,Lu,24572185
¥,Sc,24401938
û,Ll,23874424
ّ,Mn,23317453
ю,Ll,23271332
О,Lu,23215718
Š,Lu,23122144
น,Lo,22618739
đ,Ll,22568409
ē,Ll,22456612
の,Lo,22124578
ý,Ll,21964274
द,Lo,21902215
・,Po,21860458
},Pe,21745464
ò,Ll,21583491
이,Lo,21448350
ص,Lo,21341167
أ,Lo,21291391
ָ,Mn,21187301
ì,Ll,21150263
一,Lo,20937680
↩,So,20757503
√,Sm,20596741
А,Lu,20538480
ά,Ll,20445407
İ,Lu,20213566
😀,So,20020541
อ,Lo,19877903
≤,Sm,19757403
ک,Lo,19699367
ˈ,Lm,19185763
ό,Ll,19156495
Ñ,Lu,19135797
К,Lu,19095316
ń,Ll,18919686
ְ,Mn,18908817
ע,Lo,18879849
М,Lu,18614103
̃,Mn,18602250
中,Lo,18478343
נ,Lo,18330804
έ,Ll,18289584
─,So,18225653
̈,Mn,18067911
ù,Ll,18048452
ン,Lo,17929962
ز,Lo,17890450
φ,Ll,17873257
☴,So,17822717
ṣ,Ll,17768144
ɑ,Ll,17585930
Ó,Lu,17538401
ṇ,Ll,17485006
χ,Ll,17445394
ę,Ll,17416315
ร,Lo,17372974
Н,Lu,17300479
Г,Lu,17290717
И,Lu,17043734
ד,Lo,17012946
▪,So,16999451
人,Lo,16887730
Ç,Lu,16838913
ु,Mn,16828698
һ,Ll,16627995
☆,So,16444695
Т,Lu,16414759
்,Mn,16329583
ʻ,Lm,16310680
ज,Lo,16276786
是,Lo,16178305
ם,Lo,16121278
خ,Lo,15986078
̄,Mn,15901271
ַ,Mn,15731539
在,Lo,15657169
」,Pe,15531379
「,Ps,15397360
ى,Lo,15325848
õ,Ll,15178452
ř,Ll,15170783
有,Lo,15119303
大,Lo,15070550
เ,Lo,15063569
ִ,Mn,15025959
ě,Ll,14941923
✨,So,14759302
